name,time,windspeed_ZMW
windgeber_ZMW,1706759177000000000,7.4
windgeber_ZMW,1706759777000000000,7.8
windgeber_ZMW,1706760377000000000,7.4
windgeber_ZMW,1706760977000000000,7.4
windgeber_ZMW,1706761577000000000,7.5
windgeber_ZMW,1706762177000000000,8.9
windgeber_ZMW,1706762777000000000,8.6
windgeber_ZMW,1706763377000000000,9.3
windgeber_ZMW,1706763977000000000,8.3
windgeber_ZMW,1706764577000000000,8.4
windgeber_ZMW,1706765177000000000,8.3
windgeber_ZMW,1706765777000000000,7.9
windgeber_ZMW,1706766377000000000,7.6
windgeber_ZMW,1706766977000000000,7.4
windgeber_ZMW,1706767577000000000,6.5
windgeber_ZMW,1706768177000000000,6.3
windgeber_ZMW,1706768777000000000,6.8
windgeber_ZMW,1706769377000000000,7.8
windgeber_ZMW,1706769977000000000,6.1
windgeber_ZMW,1706770577000000000,4.9
windgeber_ZMW,1706771177000000000,3.8
windgeber_ZMW,1706771777000000000,4.1
windgeber_ZMW,1706772377000000000,5.1
windgeber_ZMW,1706772977000000000,4.1
windgeber_ZMW,1706773577000000000,4.3
windgeber_ZMW,1706774177000000000,4.5
windgeber_ZMW,1706774777000000000,4
windgeber_ZMW,1706775377000000000,3.5
windgeber_ZMW,1706775977000000000,3.6
windgeber_ZMW,1706776577000000000,3.7
windgeber_ZMW,1706777177000000000,3.7
windgeber_ZMW,1706777777000000000,3.5
windgeber_ZMW,1706778377000000000,3.7
windgeber_ZMW,1706778977000000000,4
windgeber_ZMW,1706779577000000000,4.7
windgeber_ZMW,1706780177000000000,5.5
windgeber_ZMW,1706780777000000000,5.4
windgeber_ZMW,1706781377000000000,5.5
windgeber_ZMW,1706781977000000000,4.9
windgeber_ZMW,1706782577000000000,5.8
windgeber_ZMW,1706783177000000000,5.8
windgeber_ZMW,1706783777000000000,5.1
windgeber_ZMW,1706784377000000000,4.9
windgeber_ZMW,1706784977000000000,5.2
windgeber_ZMW,1706785577000000000,4.8
windgeber_ZMW,1706786177000000000,6.6
windgeber_ZMW,1706786777000000000,5.3
windgeber_ZMW,1706787377000000000,5.7
windgeber_ZMW,1706787977000000000,7
windgeber_ZMW,1706788577000000000,5.1
windgeber_ZMW,1706789177000000000,6
windgeber_ZMW,1706789777000000000,6.3
windgeber_ZMW,1706790377000000000,6.5
windgeber_ZMW,1706790977000000000,6.1
windgeber_ZMW,1706791577000000000,6.1
windgeber_ZMW,1706792177000000000,6.8
windgeber_ZMW,1706792777000000000,6.4
windgeber_ZMW,1706793377000000000,7.3
windgeber_ZMW,1706793977000000000,6.2
windgeber_ZMW,1706794577000000000,7.1
windgeber_ZMW,1706795177000000000,7.5
windgeber_ZMW,1706795777000000000,6.8
windgeber_ZMW,1706796377000000000,7.5
windgeber_ZMW,1706796977000000000,5.1
windgeber_ZMW,1706797577000000000,5.3
windgeber_ZMW,1706798177000000000,4.2
windgeber_ZMW,1706798777000000000,3.9
windgeber_ZMW,1706799377000000000,4.6
windgeber_ZMW,1706799977000000000,4.4
windgeber_ZMW,1706800577000000000,4
windgeber_ZMW,1706801177000000000,6
windgeber_ZMW,1706801777000000000,6.9
windgeber_ZMW,1706802377000000000,6.6
windgeber_ZMW,1706802977000000000,7
windgeber_ZMW,1706803577000000000,6.5
windgeber_ZMW,1706804177000000000,8
windgeber_ZMW,1706804777000000000,7.5
windgeber_ZMW,1706805377000000000,7.6
windgeber_ZMW,1706805977000000000,7.8
windgeber_ZMW,1706806577000000000,8.6
windgeber_ZMW,1706807177000000000,7.9
windgeber_ZMW,1706807777000000000,8.5
windgeber_ZMW,1706808377000000000,9.3
windgeber_ZMW,1706808977000000000,8.7
windgeber_ZMW,1706809577000000000,8.6
windgeber_ZMW,1706810177000000000,7.8
windgeber_ZMW,1706810777000000000,8.1
windgeber_ZMW,1706811377000000000,7.7
windgeber_ZMW,1706811977000000000,7.5
windgeber_ZMW,1706812577000000000,8.7
windgeber_ZMW,1706813177000000000,7.3
windgeber_ZMW,1706813777000000000,7
windgeber_ZMW,1706814377000000000,8.9
windgeber_ZMW,1706814977000000000,8.3
windgeber_ZMW,1706815577000000000,6.7
windgeber_ZMW,1706816177000000000,6.2
windgeber_ZMW,1706816777000000000,5.6
windgeber_ZMW,1706817377000000000,5.3
windgeber_ZMW,1706817977000000000,4.7
windgeber_ZMW,1706818577000000000,4.7
windgeber_ZMW,1706819177000000000,3.9
windgeber_ZMW,1706819777000000000,4.7
windgeber_ZMW,1706820377000000000,5.5
windgeber_ZMW,1706820977000000000,5.3
windgeber_ZMW,1706821577000000000,5.3
windgeber_ZMW,1706822177000000000,4.2
windgeber_ZMW,1706822777000000000,3.7
windgeber_ZMW,1706823377000000000,3.6
windgeber_ZMW,1706823977000000000,2.4
windgeber_ZMW,1706824577000000000,4.3
windgeber_ZMW,1706825177000000000,5.1
windgeber_ZMW,1706825777000000000,4
windgeber_ZMW,1706826377000000000,3.9
windgeber_ZMW,1706826977000000000,4
windgeber_ZMW,1706827577000000000,4.7
windgeber_ZMW,1706828177000000000,4.5
windgeber_ZMW,1706828777000000000,3.7
windgeber_ZMW,1706829377000000000,3.7
windgeber_ZMW,1706829977000000000,4.4
windgeber_ZMW,1706830577000000000,4.1
windgeber_ZMW,1706831177000000000,4.8
windgeber_ZMW,1706831777000000000,4.6
windgeber_ZMW,1706832377000000000,4.3
windgeber_ZMW,1706832977000000000,4.6
windgeber_ZMW,1706833577000000000,5
windgeber_ZMW,1706834177000000000,4.9
windgeber_ZMW,1706834777000000000,4.7
windgeber_ZMW,1706835377000000000,4.3
windgeber_ZMW,1706835977000000000,4.8
windgeber_ZMW,1706836577000000000,4.5
windgeber_ZMW,1706837177000000000,4.2
windgeber_ZMW,1706837777000000000,4.3
windgeber_ZMW,1706838377000000000,3.3
windgeber_ZMW,1706838977000000000,3.1
windgeber_ZMW,1706839577000000000,3.9
windgeber_ZMW,1706840177000000000,4.8
windgeber_ZMW,1706840777000000000,4.7
windgeber_ZMW,1706841377000000000,5.9
windgeber_ZMW,1706841977000000000,6.1
windgeber_ZMW,1706842577000000000,6.3
windgeber_ZMW,1706843177000000000,5.3
windgeber_ZMW,1706843777000000000,5.2
windgeber_ZMW,1706844377000000000,5.7
windgeber_ZMW,1706844977000000000,6
windgeber_ZMW,1706845577000000000,5.8
windgeber_ZMW,1706846177000000000,5.8
windgeber_ZMW,1706846777000000000,5.1
windgeber_ZMW,1706847377000000000,4.8
windgeber_ZMW,1706847977000000000,4.8
windgeber_ZMW,1706848577000000000,5.4
windgeber_ZMW,1706849177000000000,4.9
windgeber_ZMW,1706849777000000000,5
windgeber_ZMW,1706850377000000000,4.7
windgeber_ZMW,1706850977000000000,5
windgeber_ZMW,1706851577000000000,5.4
windgeber_ZMW,1706852177000000000,5.8
windgeber_ZMW,1706852777000000000,5.4
windgeber_ZMW,1706853377000000000,5.3
windgeber_ZMW,1706853977000000000,5
windgeber_ZMW,1706854577000000000,4.6
windgeber_ZMW,1706855177000000000,4.9
windgeber_ZMW,1706855777000000000,4.8
windgeber_ZMW,1706856377000000000,5.3
windgeber_ZMW,1706856977000000000,5.3
windgeber_ZMW,1706857577000000000,5.4
windgeber_ZMW,1706858177000000000,5.3
windgeber_ZMW,1706858777000000000,5.7
windgeber_ZMW,1706859377000000000,5.3
windgeber_ZMW,1706859977000000000,5.9
windgeber_ZMW,1706860577000000000,5.8
windgeber_ZMW,1706861177000000000,5.2
windgeber_ZMW,1706861777000000000,5.8
windgeber_ZMW,1706862377000000000,6.5
windgeber_ZMW,1706862977000000000,6.4
windgeber_ZMW,1706863577000000000,6.6
windgeber_ZMW,1706864177000000000,6.3
windgeber_ZMW,1706864777000000000,6.2
windgeber_ZMW,1706865377000000000,6
windgeber_ZMW,1706865977000000000,6.6
windgeber_ZMW,1706866577000000000,7.1
windgeber_ZMW,1706867177000000000,7.5
windgeber_ZMW,1706867777000000000,7.1
windgeber_ZMW,1706868377000000000,7.5
windgeber_ZMW,1706868977000000000,7.1
windgeber_ZMW,1706869577000000000,6.8
windgeber_ZMW,1706870177000000000,6.2
windgeber_ZMW,1706870777000000000,6
windgeber_ZMW,1706871377000000000,5.5
windgeber_ZMW,1706871977000000000,6.2
windgeber_ZMW,1706872577000000000,6.5
windgeber_ZMW,1706873177000000000,6.6
windgeber_ZMW,1706873777000000000,7.1
windgeber_ZMW,1706874377000000000,8.4
windgeber_ZMW,1706874977000000000,7.9
windgeber_ZMW,1706875577000000000,7.3
windgeber_ZMW,1706876177000000000,7.2
windgeber_ZMW,1706876777000000000,7.5
windgeber_ZMW,1706877377000000000,8.2
windgeber_ZMW,1706877977000000000,7.2
windgeber_ZMW,1706878577000000000,6.9
windgeber_ZMW,1706879177000000000,7.4
windgeber_ZMW,1706879777000000000,8
windgeber_ZMW,1706880377000000000,8.4
windgeber_ZMW,1706880977000000000,8.3
windgeber_ZMW,1706881577000000000,8.4
windgeber_ZMW,1706882177000000000,6.9
windgeber_ZMW,1706882777000000000,8.1
windgeber_ZMW,1706883377000000000,8.9
windgeber_ZMW,1706883977000000000,8.8
windgeber_ZMW,1706884577000000000,8
windgeber_ZMW,1706885177000000000,8.1
windgeber_ZMW,1706885777000000000,7.6
windgeber_ZMW,1706886377000000000,7.4
windgeber_ZMW,1706886977000000000,7.7
windgeber_ZMW,1706887577000000000,8.3
windgeber_ZMW,1706888177000000000,6.9
windgeber_ZMW,1706888777000000000,7.8
windgeber_ZMW,1706889377000000000,8.3
windgeber_ZMW,1706889977000000000,9.1
windgeber_ZMW,1706890577000000000,9.1
windgeber_ZMW,1706891177000000000,9.9
windgeber_ZMW,1706891777000000000,9.8
windgeber_ZMW,1706892377000000000,10.5
windgeber_ZMW,1706892977000000000,11.1
windgeber_ZMW,1706893577000000000,11.2
windgeber_ZMW,1706894177000000000,10.2
windgeber_ZMW,1706894777000000000,9.9
windgeber_ZMW,1706895377000000000,9.7
windgeber_ZMW,1706895977000000000,9.8
windgeber_ZMW,1706896577000000000,10.2
windgeber_ZMW,1706897177000000000,10.4
windgeber_ZMW,1706897777000000000,10.3
windgeber_ZMW,1706898377000000000,9.8
windgeber_ZMW,1706898977000000000,9.3
windgeber_ZMW,1706899577000000000,8.9
windgeber_ZMW,1706900177000000000,8.9
windgeber_ZMW,1706900777000000000,9.5
windgeber_ZMW,1706901377000000000,8.6
windgeber_ZMW,1706901977000000000,8.7
windgeber_ZMW,1706902577000000000,9
windgeber_ZMW,1706903177000000000,9.2
windgeber_ZMW,1706903778000000000,9.8
windgeber_ZMW,1706904377000000000,8.9
windgeber_ZMW,1706904977000000000,8.4
windgeber_ZMW,1706905577000000000,9.7
windgeber_ZMW,1706906177000000000,9.3
windgeber_ZMW,1706906777000000000,8.8
windgeber_ZMW,1706907377000000000,9.3
windgeber_ZMW,1706907977000000000,9.9
windgeber_ZMW,1706908577000000000,8.6
windgeber_ZMW,1706909177000000000,8.6
windgeber_ZMW,1706909777000000000,9.3
